commentaires,notes
received phone worked fine first weeksthen lost battery power turned night charging not help every else started fail sent youbrakeifi samsung tech support diagnostic showed flawed motherboard leaving overseas next week amazon declined refundso phone way communicate  house spend other today buy phone never ever purchase amazon no support,1.0 out of 5 stars
repackaged sticky cellophane left adhesive back camera lenses can't removed finger sensor appears dirty nothing box except phone papers chargers headset nothing,1.0 out of 5 stars
die hard apple person desktop computers home apple family members iphones laptops apple not really sure decided try samsung galaxy happy far using  year old iphone figured would huge upgrade modern world still takes little getting used coming ios system's way things lose capability imessage facetime not huge deal use duo app google facetime key points large beautiful screen looks great like haptic feel keys texting feel keys pressed little buzzvibration think new iphone again i'm coming two choices new keep apple get iphone would cost applecare warranty got samsung and got ultimate play bundle bundle took square trade year warranty deductible need use it used square trade warranties past products always replaced stood guarantee square trade owned allstate confidence them getting back phone seems work fast loading apps pages use lot wireless products home nest thermostat wireless cameras lifx lights liftmaster garage door opener work fast flawlessly audio playing music sounds great plays loud clear phone like fact still earphone jack like android system comes google assistant voice command people hate bixby feature phone real gripe large button left side trying adjust volume accidentally hit bixby sometimes like though i's voice activated get car morning speak wake bixby command open whatever app need usually waze open speak waze take work without look phones screen take eyes road also bixby camera function cool too different things camera like point camera lens sign foreign language live translate sign english language and plenty phone point food tell average calorie count point wine bottle label give information wine type year etc thing think never use course tried animoji friends scary weird everyone looks this would personally like see update fix type look realistic looking online days comparisons pictures taken compared others mot notably iphone opinion lot pix better contrast usually better real advantage tends overexpose bit so dark scenes look bit brighter iphone thing get used colors samsung oversaturated colors bright setting display function gives options view turned one looks lot realistic like fact phone well iphone features ability record video fps looks great samsung though optical stabilization doesn't work shooting fps keep steady hand isn't issue video formats stabilization samsung works better all happy went samsung months regret it always keep months sell get new larger iphone plusupdate  voice unlock code terrible and searching options came conclusion don't need it face unlock fingerprint reader back actually back fingerprint scan unlock methods quick easy use battery life good far using weeks now one thing find annoying didn't know would problem video picture quality someone sends large video via texting whether send video send one becomes low quality almost hard see all compression carriers use send video's large picture files doesn't take much space used iphone using imessage send size video someone else iphone great quality sides text not android not samsung android phones so now send videos via whatsapp viber or number text apps compress not horribly oh one note hope samsung corp reading review samsung customer service reps stupidest people ever dealt tech company used think comcast bad called couple times speak someone samsung repeat question tell understand feel offering absolutely answers put hold find come back resolve terrible customer service degrees dealing someone applecare question iphone imac computernd update didn't realize important know purchasing fact i'm att network people factory store didn't know this sales people best buy department not know either buy unlocked galaxy s however want buy thru att network not factory unlocked phone different options it meaning unlocked not have wifi calling option audio option vvm video voice messaging not get video voice calling option features not even phone now buy att pay front plan either way factory unlocked phone pay  more paying full price front get att unlocked features nowhere best buy att store tell this mind great misrepresentation omitted purchasing picked bundle package amazon  got lot cool gadgets i'm keeping setup want others know difference buying unlocked version price feature set get figured att version bunch proprietary apps preinstalled hope helps someone beforehand really wants features and went att store figuring way could flash options phone isn't cannot update get optionsrd update april th discovered great feature today wish galaxy phones rise wake feature iphone x has pick look unlock via face good go discovered setting google assistant open galaxy even locked screen via voice unlocks ask google assistant do love feature immenselyth update april as play around phone learning cool things do instance factory come preset whether swipe app tray need repetition swiping either down setting swipe opens app tray as come samsung preset change setting swipe place got phones popular settings front you even better swipe using two fingers top screen opens second part settings control functions usually two part deal makes one step easier also one thing samsung addressed   using oreo software problem people using phones prior used hate now set updown volume buttons control media volume matter viewing and want control ringtone another type volume push volume media volume shows tap arrow top left screen others ready adjust exactly like them apparently reading online annoyance problem long time galaxy phones solved,5.0 out of 5 stars
box received didn't it instead cheap plastic case also box seal could tampered point watched unboxing videos phone there's supposed sticker seal break open box reviews sounds like customers received empty boxes dummy phonescustomer service processing replacement hopefully goes alright i'll update review info replacement,1.0 out of 5 stars
arrived excited use boom not work unlocked say really isn't customer service stinks no help want money back,1.0 out of 5 stars
mine stopped working days working sudden e colors black screen disappointing,1.0 out of 5 stars
great problems thing need clear clear got not sealed took get actived told used everything seems box works fine need let ppl know phones opened,4.0 out of 5 stars
metropcs initially issues getting added account woke next morning working fine so anyone wondering work metropcstmobile network usa i'm st louis,5.0 out of 5 stars
bought instead buying directly samsung big mistake save trouble buy samsung directly,1.0 out of 5 stars
ordered unlocked singlesim usa version smgu compatible usa carriers model number stamped exterior label box however inside box cheaper dualsim international smgfds won't work verizon sprint cdma bandsi ordered amazon price discounted turned disappointing experience waste time buy cell phones person authorized distributor make sure get paying for,1.0 out of 5 stars
bought phones works perfectly trash essential features dont work not worth money,1.0 out of 5 stars
skeptical afraid buy reading every single review however gave benefit doubt biggest mistake regret every damn second literally hours damn hours first hours turned graphics looked amazing left store run buy case screen protector excited put screen protector went turn onnothing black screen everything tried reset it hard reset plugged charger nothing bunch bull don't buy them don't even bother don't even know vendor even still allowed sell products needto taken down amazon needs know effing customers over stay away,1.0 out of 5 stars
supposed brandnew unlocked looks brandnew far working fine box missing sim ejecting needle beginners manual sim ejecting needle downloaded users manual samsungcom activating tracfone carrier got message asking activate spring way around issue not get message anymore long stays time not big deal contacted seller amazon offered refund not want return great would like problem fixed,4.0 out of 5 stars
good phone not fall prey samsung trade program impossible find trade multiple stipulations,2.0 out of 5 stars
exactly advertised brand new unlocked model galaxy smgu works perfectly sums i've tried att verizon get better service verizon area unlocked model isn't full carrier bloatware don't use many downloaded completely satisfiedalso believe pick different waves used get bars consistently area i've one since set up,5.0 out of 5 stars
fake cloned phone not buy u'll wasting time money buy directly samsung please double check cloned not deceptive,1.0 out of 5 stars
nervous purchasing unlocked amazon not knowing i'd get purchased this sold fulfilled amazon pleased purchase separate sim card carrier tmobile true unlocked buy doesn't come wall car charger true s's purchase separately i've earlier versions samsung phones best i've terms screen clarity memory speed photo quality audio much more considering buying phone best best buy directly amazon seller not third party seller  otherwise sure read third party's terms carefully aware buying third party seller comes risks,5.0 out of 5 stars
absolutely fabulous switched moto pure loved huge upgrade easy set adapter included attach old use app copy files awesome super fast love customizable is themes icons fonts issues bixby sound awesome sound important aspect me display beautiful camera fabulous concerned breakage ms tend twitch lot drop things researched forever protective pretty case hope found it also screen protector pop socket love whole set up feels really secure hand case add bit weight don't mind also worried getting fake empty box purchased unlocked worried research seller even emailed told concerns purchased mine ended getting mine endlessitems highly recommend them amazon didn't update seller's stock already bought it contacted day offered black one refund wait till got one in chose wait rather refund cuz knows long would take weren't supposed get three days monday customer service awesome said would try find one quicker recieved yesterday wednesday came perfect condition breeze metro get running  totally happy recommend buying it,5.0 out of 5 stars
leagues better was mostly due refinement rather innovation everything want to great camera beautiful screen everything come expect samsung flagshipthat said not massive improvement polished essentially phoneif got need upgrade new device year old device absolutely worth investment modern phone not much,5.0 out of 5 stars
good day purchased giving problems getting hot apps taking long open constantly freezing,2.0 out of 5 stars
concerned ordering unlocked reading several mixed reviews whether not compatible verizon people saying recieved refurbished defective phones research nice sale price took bit chance pulled trigger glad did received perfectly new condition issues verizon network all popped sim worked perfectly since coming almost identicalwith notable improvements i'm not going turn product review looking unlocked purchase already know like s not anyway got good quality new much better price could got direct bb stores unless want lock carrier two years,4.0 out of 5 stars
heart rate monitor not working no rubber seal protecting sim micr card water poor display quality poor camera everything big no first time ever experience problem amazon making want stop purchasing amazon love amazon they're loyal customers not stand   hope mistake made not scheme,1.0 out of 5 stars
switched saw price iphonex not disappointed switching samsung much better display camera iphones do pictures dark phenomenal easy transfer data iphone easy set features thinking switching iphone it not disappointed,5.0 out of 5 stars
pros overall great phonecamera high resolution lower light photography due dual aperturesgreat listening experience dual speakers stereo soundone best displays smartphone oledwireless charginga headphone jackbeautiful form factor display curving sidescon possibly incompatible cellular carrier check model numberfor not living uk listed model number unlocked ukthe description not explicitly list compatible region listed model live us model received smgfds unlocked version dual sim uk model not compatible verizon sprint possibly cellular carriers,4.0 out of 5 stars
not given actual phone display model hardware screen camera etc,1.0 out of 5 stars
nice upgrade i'm glad went  really like big screen extra camera,5.0 out of 5 stars
deffective get charged per cent restocking fees pay return shippingnot worth,1.0 out of 5 stars
excellent smartphone busy professional well moments need relax unwind super fast processor awesome camera average especially like speed intellegent scanner fingerprint scanner work unlock screen comes handy situations need quick peek messages info notification panel best smartphone samsung ever produced definitely best smartphone,5.0 out of 5 stars
 after month research want much battery life features inside beats phones i've water granted i've phones older like night day difference experience phonespros sound quality speakers phenomal highs not tiny bass not overbearing picture quality set max qwhd glorious thing camera stronger canon recently purchased downside zoom function makes rather quick get blurry beautiful slomo option video capture selfie camera amazing well filter options clear face also wide selfie option large groups people video recording phenomenal tracking motion capturing lightning fast loads apps web pages connection strong fingerprint open back conveniently placed iris scanning plenty battery life full days use gps tracking music playing  samsung pay option paying items without needing pull cardcons  camera zoom function isn't much good picture quality understand small handheld device  price tag always flagship phones rather high paying right flipping newer flag ships future doesn't make expensive purchase resale value couple yearsall enjoy found completely worth experience i've pictures battery life alone yet hiccups using always need doonly con would price otherwise complete stellar buy,5.0 out of 5 stars
opening shipping box found wrong item inside instead galaxy galaxy box sealed shipping tape ends opened box found inside chains yes chains wrapped napkin samsung charger couple generic chargers small accessoriesi reported incident amazon unable help me unless police report filed,1.0 out of 5 stars
this definitely best smartphone get today beautiful fall love every single day add wireless charger ear buds watch got amazing smartphone experienceyou need get cover glass back though not strong proposed be get alcantara case samsung also stick apps play store themes samsung hitch free glitch free ride,5.0 out of 5 stars
retrurned devicegalaxy s got sellerrelliant celular not new not unlocked like seller claims selling page did not work verizon spent money bought eventualy best buy works great also new make decisions called misleading customer,1.0 out of 5 stars
fast solid build signal reception horrible home signal always weak motorola much better reception range cell service  closer better weak area still  good area don't need mm headphone jack get play far better phone motorola really knows they're convenience loved g loved samsung s too s pretty poor,2.0 out of 5 stars
received it it’s great there’s option transfer data onto phones including iphone se reviews claimed box accessories missing made bit skeptical worried i’m glad took gamble beautiful phone infinity screen makes beautiful fingerprint scanner efficient place takes less seconds set up back another review month so,5.0 out of 5 stars
lovin' phone clobbered front predecessor ordered simply switched sim cards  bingo connected att network without hitch phones smart downloadeduploaded prior info dead phone buy confidence thanks amazon offering unlocked phones,5.0 out of 5 stars
happy purchase little skeptical ordering online decided give go came within couple days ordering packaging good mint condition photo quality awesome one main reasons purchasing phone previously owned samsung features changed phone example home button longer there bixby feature trying figure out overall would highly recommend,5.0 out of 5 stars
read disturbing reviews phone seemed sellers actual phone got blue direct amazon brand new perfectly intact insanely easy transfer info old service switched new phone beautiful nice upgrade v best part bought less would carrier excellent buy happy,5.0 out of 5 stars
i've iphone user years first samsung taking little getting used to ive spoiled flawlessly synced mac however i'm digging extended battery life camera clarity screens resolution adjustability expandable memory things like made switch pleasant reason i'm not giving stars price lack usb audio play car audio systems even black friday pricing isn't really competitive price department unknown reasons samsung away simple plug play usb audio mirror link app using usb audio cars capability,4.0 out of 5 stars
purchased devices one still wrapping issues used missing charger adapter piece phones worked great paid new received used one left without charger adapter,3.0 out of 5 stars
different previous models removed many options need loved sadi needed internal memory almost left galaxy many years due curved infinity screen silly edge bixby uselessi advised many techs not purchase model finally decided based slo mo avitar memoryiphones sturdy better batteries micro cardwhen galaxy removes card i'll leave iphone longer replace batteries galaxy galaxy praying battery lastsvery complex long learning curve many options hate curved infinity screen bixby edge useless waste memory great far buy alexa need much internal memorynot sure long battery last crossing fingers since can't replacedwhy earth use curved infinity screen hard find case screen protectors work fragilewhat value purpose bixby also find edgeuseless unnecessarygreat stereo sound moviesstill learning hidden tricks many weeks learning curve takes foreverwill test camera soon get back you loved s cameras less model,3.0 out of 5 stars
months phone conclude solid android phone jampacked features like stereo speakers led indicator wireless charging face unlockiris scanner fast fingerprint sensor gesture controls headphone jack obviously super oled display plenty others features cameras nowhere near level google pixel still strong own producing quality photos steady video surprisingly good portrait mode downsides battery drains little faster expected dedicated bixby button really annoying press accident samsung bloatware tacky emoji coming lifelong iphone user confidently say anyone isn’t attached apple ecosystem amazing experience first android phone say confidence samsung successfully made satisfied purchase,5.0 out of 5 stars
best and beautiful hands downpixel xl worse processor less ram worse battery equalizer dex hdmi output sd slot stupid notch expensiveiphone max similar performance fingerprint sensor worse battery life sd slot stupid notch dex expensivenote big onehanded use big pockets processor phone expensive tho use spen that's best useriously waited flagship announcements find s announced months ago still best year not even closecompletely customizable pleasure use new samsung software much better old bulk days even note i'm coming pixel xl vouch lightweight useful snappyalso alwaysondisplay pleasure don't think i'll want back not option battery life amazing i'm happy,5.0 out of 5 stars
note purchase product name beneath title product manufacturer name not vendor not received different one ordered also not include charging cable product don't let fool you phones not new not sold samsung favor best buy instead,1.0 out of 5 stars
edge lcd screen died last month needed right away currently verizon sort limits choices works verizon cheaper buying directly verizon didn't pay activation fee since used old sim cardin honesty like looks edge better also miss physical button bottom phonepassive battery life amazing far old would almost completely drained end day checked every while periodically checking while sending texts etc still midnight apps kill battery life pretty quickly notify every notices apps running backgroundhave not time play around bixby yet,5.0 out of 5 stars
three stars amazon's screw itselfwhen get phone check model number should smgui ordered unlocked galaxy model number smgu amazon sent chinese unlocked model number smg although look same chinese sort works dropped calls poor sound quality incoming calls straight voice mail not warranty all support comes china critical features carrier offers disabled such tmobile's wifi callingit took month figure wonderful galaxy piece crap neither amazon samsung much help discovering source problem wasn't tried register samsung's us website failed got clueafter much do amazon replaced chinese correct one like magic everything appears working fine including wifi calling,3.0 out of 5 stars
upgraded galaxy galaxy many improvements however lot familiar used att network easy getting sim replacing account one note att not call galaxy name account device page not buy them simply call device designation not cause issues billing anything else account asked support change device galaxy never went through camera beautiful playback forms media great battery life i'm not wild sidebar tabs stow contacts apps think get way things doing summary great phone,5.0 out of 5 stars
awesome love fact unlocked additional junk carrier would purchased thru carrier issue warranty samsung care side not disclosd purchasing phone amazon willing resolve matter gave options purchase warranty overall love amazon customer service top notch,5.0 out of 5 stars
due negative comments previous people wrote regarding receiving boxes phones phones scratches previously used phones hesitant make purchase happy report followingthe samsung galaxy unlocked us version coral blue arrived brand new condition packaging brand new seals packaging also factory protective clear films front back gmu model also packaged charger instructions card tray key headphones,5.0 out of 5 stars
typical oem bloatware well google thirdparty software can't removed hardware bixby button obvious attempt overriding google assistant easy activate unintentionallya samsung account necessary use competing features even don't make sense need accountthe screen brilliant beautiful curved edges give attractive illusion depth battery life good recharge fast samsung best swipe predictive qwerty brands i've ownedi'm happy purchase,4.0 out of 5 stars
purchased amazon warehouse purchase could not bring pay full price todays high end smartphones looking product received looks functions new deducting two stars tried register warranty service find couldn't registered i'm pulling one star amazon listing warranty one star samsung not able register product continue test functionality coming week great value money samsung supports product advertised,3.0 out of 5 stars
received phone worked fine first weeksthen lost battery power turned night charging not help every else started fail sent youbrakeifi samsung tech support diagnostic showed flawed motherboard leaving overseas next week amazon declined refundso phone way communicate  house spend other today buy phone never ever purchase amazon no support,1.0 out of 5 stars
repackaged sticky cellophane left adhesive back camera lenses can't removed finger sensor appears dirty nothing box except phone papers chargers headset nothing,1.0 out of 5 stars
