commentaires,notes
nice screen great fast responsive well designed decent wired headset fast charger included getting good battery life complaint apps come can’t uninstalled especially true bixby app don’t use dedicated button disabled voice dictation doesn’t work well google dictation fortunately changed use google default,4.0 out of 5 stars
bought far they're working great give rating took weeks reach me not sure happened shipping also trouble getting set up came tmobile refused recognize verizon card took hours get work factory reset keep restarting recognized verizon card far phones came factory packaged appeared brand new complaints there make sure check carrier buying see use gsm cdma buy wrong not work,4.0 out of 5 stars
great phone got girlfriend birthday worried would annoying get activated verizon account completely wrong took sim card iphone put new let finish initial setup literally it didn't even log verizon account register anything worked immediately ie could send texts calls use network wifi turned off impressivepros instant setup without hassle contacting verizon didn't need contact even login verizon already sim card another verizon phone fast great screen android great camera expandable disk space slim gorgeous powerful enough emulate games still dedicated headphone jackcons dedicated bixby virtual assistant don't care learn button disabled not reprogrammed inserting sim card works via flimsy insert pops top fortunately likely twice,5.0 out of 5 stars
read good bad ugly reviews took chances day shipping little scratches box least there activated new tmobile sim card existing account data old galaxy got transferred smoothly great sleek modern look feel problems it,5.0 out of 5 stars
arrived quickly took att activation absolutely problem less minutes including adding changes account nice size display clear con font sizes not great don't allow much adjustment bigger screen harder read texts galaxy play screen zoom fonts may see download one works better me overall nice definite upgrade glad stayed galaxy,4.0 out of 5 stars
ordered samsung galaxy unlocked gbus model gu midnight black warranty used good conditions retailed tax shipped amazon prime arrived via fedex presentation packaging nice expected crappy box came nicely detailed android smartphone device box turned worried verizon smart menu inserted metro pcs sim card read not verizon sim card anyways went metro pcs decided get new sim card mines old anyways asked galaxy unlocked said yes guy kinda rude said features not going work properly seems like carrier wants activate unlocked phones days anyways set up got home checked main features use like casting tv wifi browser youtube sharing messaging messaging sharing bluetooth wireless charging sharing calls google chrome google home everything worked perfectly maybe feautures offered verizon network,5.0 out of 5 stars
even begin advertised new black samsung galaxy received gold samsung galaxy edge inside box not mention front back shattered cherry top little don't open seal broken sticker it would hilarious didn't cost i'll putting straight back box return it tough fight urge toss trashthis complete waste money seller blatant scammer saw negative comments thought surely work anyway know i'm doing suspect positive comments posted bots shills sort seller themself please save time money don't fall like didpics laugh misfortune,1.0 out of 5 stars
bought use part verizon account obtained sim card verizon store activated successfully att comes att sim card work verizon network att logo including builtin att apps builtin apps disabled not deleted time not want sync may change updates gave stars could upfront att galaxy great phone far worth savings getting verizon time tell,4.0 out of 5 stars
skeptic buying wasn't sure would work plan ihave boost mobile used worried condition would actually i've gotten it received looked brand new not scratch it boost couldn't activate though became little discouraged girl worked boost told could sprint would help fee went sprint get sims card boost not carry hand would order it went sprint gave info sim card needed able help sims card ended free setup easy that needed put info less minutes running love came warranty purchased october called samsung find much longer warranty good for told august next year two cons purchase doesn't come charger doesn't come fancy headphones comes with overall i'm please purchase,5.0 out of 5 stars
got tired forcibly throttled ios iphone like ipad air seem running slower slower regardless actions taken remedyi decided back androidthis could redeem android prior android phones slow laggy poor performers proved unreliable fast works smooth minimal issue importantly reliable unfortunately little insignificant things not resolved functionality much higher iphone of course still early on issues update review usual,5.0 out of 5 stars
i've samsungs since high school easier use know work like slickness volume picture quality simple person don't generally find everything new technology samsung prompted everything could possibly do also unlocked worked out thought going hassle walked right att new new service running within minutes great buy opinion prime member worth end also arrived sunday promised thing post office service dropped expensive device door without knocking let anyone know there opposed ups fedex don't bother get sign would advice using one amazon mailbox stations gas station ever closest location much safer,4.0 out of 5 stars
warranty listed not valid received phone tried register samsung website received error message possible reasons error include serialimei number not valid product older years product purchased outside uscontacted amazon replacement sent out attempted register it problem spending hour samsung customer service per number warranty listing not warranty available,1.0 out of 5 stars
product not version warranty also model number mentioned different mentioned settings amazon blacklist type sellers vipoutlet mistake amazon amazon sued manipulation tried register phone got following messagepossible reasons error include serialimei number not valid product older years product purchased outside us,1.0 out of 5 stars
samsung live it got replace terribleand battery life super lowi thinking getting sprintbut prices insane not much difference finger print scanner button new processor new camera not worth price monthly payment carrier decided get unlocked not penny what's great works sprint fine highly recommend buy deal carrier financing scam,5.0 out of 5 stars
love look functionality phone got plenty internal storage slot memory chip i'm not thrilled charging port micro usb chargers useless battery life not amazing old phone cheap samsung  hour battery life usually far longer even so love come attachment convert one micro usb car chargers compatible charger so ultimately great purchase i'll charge long work days,5.0 out of 5 stars
