stars,comment
5.0 out of 5 stars,"So far, so good.  It is very hard to tell that this phone is a refurbished phone and not new.  I received it last Thursday and have been busy installing updates, apps and accounts in order to switch over from my existing Windows phone.  I have not activated on my Verizon network but I have verified, by swapping my old phone's SIM card into the S7, that it could connect to the Verizon network in CDMA LTE mode.  Once I've configured it I'll need to go to a Verizon store, get a new SIM, and activate it.  Other than that this refurbished phone seems like it will work just as expected with a new phone.  I will update this review once the activation is complete and I've been able to put it to actual day-to-day use.
            "
4.0 out of 5 stars,"I believe this is going to be my best phone yet. It came in the time promised and it looks to be brand new. Setting it up and transferring my data was a breeze. I love the ""always on"" screen that shows the time and date as well as certain other information. Really a handsome phone that is the right size for me.The only reason I have not given it 5 stars is that I don't have my sim card yet, so I can't actually use it as a phone, just wi-fi. But I will have that installed soon and I imagine it will be wonderful.
            "
2.0 out of 5 stars,"Product works as a phone. Headphone jack does not. I don't have time to return it because I actively need a cell phone for business. I'd appreciate changing wording from ""Refurbished"" to ""used"" or ""broken"". Just so consumers are clear on what's up. ""Like new"" should be pretty clear and apply to things that are, yknow, like new. Thanks.
            "
4.0 out of 5 stars,"Really nice phone for the price! Everything on it is perfect, except when I try to play music through the aux cord in my car, it has a loud, annoying static sound that won't go away. I can bypass this though a bluetooth adapter, though, so it's not a huge issue, and it's the only issue I've had thus far. Everything else works amazing and it looks like new. Another minor issue was shipping. I ordered this phone last Thursday and paid extra for one day shipping, but the phone arrived the following Wednesday. The phone is nice enough that it wasn't a huge issue, but definitely don't pay extra for one day shipping or expect this phone to arrive in a hurry.
            "
3.0 out of 5 stars,"The battery life on this is terrible, it last about 2 hours. the Operating system is about as slow as Christmas and apps quit on me faster then battery does. Will probably return, not worth the hassle. Not to mention risking what feels like first degree burns from the thing overheating in my hand.Pros:-Cute ability to let Google rule over everything-Android-Can cook eggs and the Waterproof-ness prevents that yoke from entering the phoneCons:-Low security-Heats up to the point where I thawed out two cavemen to show them this marvel of technology, they said it was dumb and used it to make fire-slow-battery dies faster then my last relationship(Star if you read this I miss you you)
            "
2.0 out of 5 stars,"Whoever this phone belonged to before me (the seller) knew that this phone had an issue, that is why it was sold for such a cheap price. Yes it was a refurbished phone, BUT still with an ongoing issue. This phone requires a system update all day everyday, but once it is done, nothing reflects that update and then it asks for another update. It is a never ending request! I have to keep allowing the phone to update and reboot and I do not have another phone that I can use to send this one back. I can make and receive calls, text, etc. for the most part, but the last phone that I had was a decent phone, it just did not have enough storage space and a terrible camera, but it did not require updates every morning or every night! I need storage space and a great camera with great pictures. I am disappointed and I have NEVER done a bad review about anything that I received through Amazon! (I do understand that each seller is different, but this could cause issues in the future)
            "
1.0 out of 5 stars,"Item was defective, screen broken, huge pink lines flickering before 90 day warranty was up, contacted company 1 day after 90 day warranty period which apparently starts when it was ordered, not received and would not help me out at all.I had not had the phone active for more than 60 days when this happened.
            "
5.0 out of 5 stars,"So glad I decided to purchase Amazon certified refurbished.The phone I received was like new and fully functional. No problems activating it to my Verizon account. Battery life lasts all day with medium use. Came with a Samsung quick charger. I couldn't be happier with the performance and quality of this phone.
            "
3.0 out of 5 stars,"I would not consider this a certified refurb. It came with generic charger that wasn't useable so I'm using a Galaxy S charger I had from another product. Phone charges to 100% but does not stay charged more than 12 hours even with very limited use, notifications and smart background off. Wish I had spend the extra on something more certain. ANY Certified Refurbished ELECTRONIC Item Ive purchased previously always came with a name brand charger and good battery life therefore I am disappointed.
            "
4.0 out of 5 stars,"I am mostly please with the purchase. The phone looks great cosmetically and works great. Only problem is with the battery. The battery is not good and I would have rated this only 3 stars. I get about 6 hours of light use before phone's completely dead, 2 hr's to 3 hr's max if I'm talking on it and have the blue tooth earpiece connected . We have another S7 we purchased new about 18 months ago, and when configured identically and placed side by side with the one we purchased from Kiss Electronics we can see an obvious difference on remaining battery power within 10-15 minutes. However, I called Amazon customer service and explained the problem. They quickly offered to credit me $20 so I could purchase a new replacement battery, which I have ordered and will swap out with the bad one soon. So, I've raised my rating to 4 stars because of the incredibly responsive customer service response and my belief that a new battery will resolve my only problem with the phone. Lastly, the S7 battery replacement process looks to be a little more than just a quick swap out. It involves special tools, heat gun, etc (I suggest watching a YouTube Video before attempting this battery swap). I will update this review after I replace the battery.
            "
1.0 out of 5 stars,"When we got the phone, the previous owner's information was still on the phone. That was bad enough, but now, after just 4 months, the phone has crashed and is completely dead. Even though the phone appears completely fine, hasn't been dropped, and hasn't been wet, Verizon employees said it was done. Unless this seller follows up and something changes, our recommendation is to avoid them.
            "
1.0 out of 5 stars,"When we got the phone, the previous owner's information was still on the phone. That was bad enough, but now, after just 4 months, the phone has crashed and is completely dead. Even though the phone appears completely fine, hasn't been dropped, and hasn't been wet, Verizon employees said it was done. Unless this seller follows up and something changes, our recommendation is to avoid them.
            "
2.0 out of 5 stars,"BEWARE-Phone aesthetically looks great.-Charge port is loose.-Unable to get rid of software update notification (run update and it still keeps coming back up every time.  Tried factory reset and didn't fix problem.-Battery life is very bad.  Complete discharge within normal conditions (very little usage) from 100% at 6am to 45% at 10am to 0% by 2:30pm.  Not possible to replace battery since it is a integrated battery / device.-Called customer service and they will issue a refund or replacement but I have to go without a phone until new one arrives after they received this defective one.-I have to go to Verizon to get a micro SIM (had to cut old one to fit GS7 nano SIM slot) for my old device just to send this one back, or go without a phone.UNFORTUNATE EXPERIENCE OVERALL.
            "
5.0 out of 5 stars,"I was skeptical ordering. Was assured it would work on Verizon. Has Verizon logo on back. Hardest part was getting a SIM card cause it is an older phone and I had to drive over an hour to a Verizon corporate store on a busy weekend.  Husband loves it. It’s his first smart phone.  No complaints so far. Questions were answered quickly. Fast shipping.Def recommend this seller and this product.
            "
5.0 out of 5 stars,"This cell phone was available from a number of different sellers, with mixed reviews across the board, and almost the same pricing.  I opted to go with Dealfisher and  was very pleased with the entire order process.  See a ""seller review"" separately.  As far as the phone goes, I was a little bit hesitant at going with a refurbished unit, but it was almost $250 cheaper than purchasing new from Verizon.  I'm glad I took the chance.  The phone is to any non-technical examination brand new.  Not a scratch, rub mark or any other discernible indication that it has ever been used before.  It did NOT come with a sim card, or memory card, but that was clearly indicated in the product description.  What I did not know was that the Galaxy S5, that I was replacing, has a ""micro sim card"" and the Galaxy S7 (the new phone) has a ""nano sim card"".  They are NOT the same.  That's the bad news.  The good news is that my local Verizon store (NOT and authorized vendor, but a ""real"" Verizon store), installed a new nano card in a couple of minutes and then, since they weren't busy, cross loaded all of the contents from the old phone to the new...at NO cost!  It can't get better than that.  By the way, the memory card IS the same for both phones.  Hope you get the same great results I did.  Cheers...Ed B.
            "
5.0 out of 5 stars,"Phone looks and acts like it's in absolute brand new condition. My phone came with they legitimate Samsung fast charger, USB converter too store information, and a set of really nice Samsung earbuds. The only thing that doesn't scream this is brand new phone is that it came in a plain white box and cost $250 less than new!
            "
1.0 out of 5 stars,"The phone is missing the Verizon Voicemail app.  And spoiler alert you can't add it.  According to Verizon support it is something that has to be added when the phone is first configured.  Also per Verizon they say this means its not really a Verizon phone, its just a phone that will work on the Verizon network.  Ultimately what this all means is you can't tell if you have a voicemail, how many voicemails you have, who they are from or when they were left.  You have to dial the voicemail number and then listen to each message in its entirety and then check the info on the voicemail to get any info about it.  For someone who lives their life by their phone this is a no go.  If this would have been disclosed in the product description I would have picked another phone.
            "
1.0 out of 5 stars,"Certified Samsung refurbished phone had many problems out of the box. After-market accessories, charged very hot, screen had a light 1/3 section that jiggled, black colors were green, speaker cut in and out, mobile reception strength started out half of previous phone and decreased to near zero.  I would rate this refurbish very poor quality. I give this less than a star.
            "
1.0 out of 5 stars,"Not truly unlocked. Went to several carriers and none have been able to activate the phone. Sending back.
            "
5.0 out of 5 stars,"This cell phone was available from a number of different sellers, with mixed reviews across the board, and almost the same pricing.  I opted to go with Dealfisher and  was very pleased with the entire order process.  See a ""seller review"" separately.  As far as the phone goes, I was a little bit hesitant at going with a refurbished unit, but it was almost $250 cheaper than purchasing new from Verizon.  I'm glad I took the chance.  The phone is to any non-technical examination brand new.  Not a scratch, rub mark or any other discernible indication that it has ever been used before.  It did NOT come with a sim card, or memory card, but that was clearly indicated in the product description.  What I did not know was that the Galaxy S5, that I was replacing, has a ""micro sim card"" and the Galaxy S7 (the new phone) has a ""nano sim card"".  They are NOT the same.  That's the bad news.  The good news is that my local Verizon store (NOT and authorized vendor, but a ""real"" Verizon store), installed a new nano card in a couple of minutes and then, since they weren't busy, cross loaded all of the contents from the old phone to the new...at NO cost!  It can't get better than that.  By the way, the memory card IS the same for both phones.  Hope you get the same great results I did.  Cheers...Ed B.
            "
5.0 out of 5 stars,"Phone looks and acts like it's in absolute brand new condition. My phone came with they legitimate Samsung fast charger, USB converter too store information, and a set of really nice Samsung earbuds. The only thing that doesn't scream this is brand new phone is that it came in a plain white box and cost $250 less than new!
            "
1.0 out of 5 stars,"The phone is missing the Verizon Voicemail app.  And spoiler alert you can't add it.  According to Verizon support it is something that has to be added when the phone is first configured.  Also per Verizon they say this means its not really a Verizon phone, its just a phone that will work on the Verizon network.  Ultimately what this all means is you can't tell if you have a voicemail, how many voicemails you have, who they are from or when they were left.  You have to dial the voicemail number and then listen to each message in its entirety and then check the info on the voicemail to get any info about it.  For someone who lives their life by their phone this is a no go.  If this would have been disclosed in the product description I would have picked another phone.
            "
1.0 out of 5 stars,"Certified Samsung refurbished phone had many problems out of the box. After-market accessories, charged very hot, screen had a light 1/3 section that jiggled, black colors were green, speaker cut in and out, mobile reception strength started out half of previous phone and decreased to near zero.  I would rate this refurbish very poor quality. I give this less than a star.
            "
1.0 out of 5 stars,"Not truly unlocked. Went to several carriers and none have been able to activate the phone. Sending back.
            "
1.0 out of 5 stars,"1st, verizon tech tried 2 new sim cards would not work. put sim card in from my iphone 7 & phone activated, not supposed to. 2nd, unknown apps from europe & netherlands constantly trying to download, this went on from 8pm to 6am when i shut phone down.  was 100% charged @ 8pm & down to 10% @ 6am.  It would not do screen shots.  Verizon tech & i tried to put phone in safe mode & this would not work, i could go on & on, it cost me my time @ verizon store 2hrs, plus time re-downloading all my apps, ring tones.  for a company that showed 99% reviews favorable what a scam.  additional cost of zagg screen saver & protective case.  also time on face of phone kept rocking between pt to military time, wierd, plus giving bogus local temp.  110 outside phone showing 76. Ordered wireless charger to go with phone,  tried to save some$ but in the long run ordered new from verizon.
            "
4.0 out of 5 stars,"LOVE the phone, but unfortunately the first one I was sent was defective.  After about 400 phone calls, I finally got my hands on one that WORKS properly and I'm in love. Never thought I'd be happy to leave Apple, but I definitely am!
            "
2.0 out of 5 stars,"Update: after rebooting the phone 5 times and doing a system update I was finally able to use the fingerprint sensor to unlock my phone. I should not have had to go through all that frustration,  but I think I may have fixed the problem.  :(I would give this company zero stars if I could. I received the phone and when I put the sim in I keep getting a notification that unauthorized actions have been detected. Because if this, I cannot use many apps, including the fingerprint security and Samsung’s own Health app. I have restarted the phone to no avail. I then did a factory reset and that didn’t work. I still get the same message. This phone is a piece of you know what. I am sending it back for a full refund. Unfortunately, this company will probably just send the defective phone to the next person who orders one so buys beware! 😡🤬
            "
5.0 out of 5 stars,"For what it's worth, I bought my phone from DealFisher and it was great. Battery is very strong and only one or two minor scratches that suggest this thing was hardly used. It was no trouble getting this phone switched over to my existing Verizon service. Last thing to note was that my package just included the phone and charger without any other extras. That's fine with me. Just happy I got a good one!
            "
1.0 out of 5 stars,"Great phone overall when battery isn't dieing. Purchased this phone thinking it was great deal since it was refurbished. However my battery life is horrible phone dies in like 2 hours. I need to get a battery replacement now. Phone performance is good and has very nice camera. I'm just a little salty because In Constantly having to charge my phone.**** I had to get different phone battery was horrible feel ripped off
            "
5.0 out of 5 stars,"So when I was initially looking to buy a new phone I knew that I didn't need the newest or shiniest phone so I decided to buy a phone that was a few generations back. But I debated about where to buy a used phone. I researched for a long time and went back and forth with a lot of websites and Amazon had the cheapest price, which made me both happy and a little bit warry. But I decided to go with the phone on Amazon, I choose my seller carefully to a one that had good reviews and a high quantity of reviews. When it came the phone had no defects and looked brand new! It didn't have a  sim card (but I knew it wouldn't) All in all great phone great deal! I waited to write my review for a couple of months just to make sure. So I highly reccomend buying a used phone.
            "
5.0 out of 5 stars,"Perfect quality and flawless performance. I had a brand new Galaxy S7, which I lost after about 6 months of use, and I decided to replace it with this refurbished S7. Because I had been using the exact same (but brand new) phone just prior to using this refurbished, I can undoubtedly confirm that this performs the same, and it looks and feels brand new as well. No scratches, no dings, not even any dirt or dust in the speaker grill etc. At first I was hesitant to purchase a refurbished phone, but all my worries were for no reason with this seller. Thank you!
            "
5.0 out of 5 stars,"I bought this phone to replace my aging S4 that was still working but getting tired. The S4 was in an otter box all it's life and had a few battery replacements since i bought it new. Back in those days smartphones were free when you signed a 2 year contract so I had a bit of sticker shock when I went phone shopping. I'm over 60 and retired, I just don't need the latest gadget filled cell phone.I read all the reviews for this S7 phone on Amazon and found a wide mix of comments from junk to like new condition. The thing that sold me on this one is that Amazon certified it with this statement ""A Certified Refurbished product has been tested and certified to work and look like new, with minimal to no signs of wear, by a 3rd party distributor""Certified to work and look like new from Amazon's description means to me I could return the phone if I was not completely satisfied with it's condition. The 3rd party distributor for my phone was Kiss Electronics.I live in SoCal and ordered the phone with Prime 2 day delivery, to my surprise it arrived the very next day!first Impressions,I opened the prime box to find a generic phone box inside. When I opened the phone box I found the phone, a wall charger, and a phone number for Kiss electronics customer support, that's it. No manual, no release key for the sim card and no instruction manual. I was soon encouraged by the like new external condition of the phone and I saw what appeared to be a factory original peel off plastic screen cover on it.  I plugged it into the provided Amazon marked charger to find the battery was completely discharged. I found a safety pin to release the sim card holder and quickly realized my old S4 Verizon sim card was way to big to fit. The next day I went to the Verizon store and they happily supplied me with a nano sim card. I asked them if they could transfer all my old contact info from the old sim to the new one and I was told that is not possible. Now that I know about the sim card data transfer problem, I would have used google in advance to back up all my data first before going to the Verizon store. Oh well, I transferred all my data the old fashioned way, hey I'm retired, who cares.After getting the new nano sim card installed I was ready to try out the phone.I turned the phone on to update my contacts, then decided to check for Android operating system updates. I found that it was currently running Marshmallow 6.0.  I updated the first, then the second, then the 3rd. On and on for a total of about 7 different operating system updates, it took a few hours to complete all the upgrades. It updated all the way to Oreo v. 8.0. This is when I realized this must be a new old stock phone that has not ever been operated or used before.I had read that manufactures (like Samsung) often have many brand new phones that are earmarked for their warranty exchange programs. I suspect these phones were new phones that were not needed by the manufacture and were sold at auction to various electronic device distributors (like Kiss Electronics)I have had the phone now for about a week. After removing the bloatware and configuring it the way I want it, I am very happy with it. I would highly recommend this phone for anyone on a budget or whoever doesn't need the latest and greatest cell phone on the market. I rate my entire experience with Amazon and Kiss Electronics A+
            "
3.0 out of 5 stars,"Aside from a little rash around the charging port from being used, the phone was like new. No scratches, no issues. phone been working great so far. Bought it for my wife, I may order myself one now.UPDATE: 09/12/18I purchased this to replace my wife's Galaxy S5 (I am still using mine).  Since she bought it I have not been happy with her call quality.  I have a hard time understanding her unless she speaks deliberately and clearly.  5 months later I realize that we are not being connected using the HD Voice option on Verizon phones. The ""Advanced Calling"" options are not present on this phone.  I spent hours with VZW Support and Samsung support to no avail.  Samsung told me that a phone that has been unlocked does not have these features.  Verizon says that this must not have been a Verizon phone and that's why it is not available.  The phone I bought from Deal Fisher was supposed to be a Verizon phone and was not listed as an unlocked phone.  Ultimately I am overly disappointed.  My S5 has way better call quality and now I am hesitant to replace it with another one off of Amazon.
            "
1.0 out of 5 stars,"Phone did not have software compatible with Verizon and so cannot be activated. Despite multiple attempts to factory reset and to update the software through Verizon's software tool on my computer, I cannot use the phone with a new SIM card from Verizon. Since it was sold as a Verizon phone, that renders it essentially useless to me. After spending 2 hours on the phone with Verizon tech support, following by 2 hours of my own time attempting to reset the phone, I'll be returning this for a refund. I still have no phone, after waiting over a week for this one--an enormous waste of time for a useless device.My options now include rolling the device and waiting another week to get a new phone from Amazon/this seller, or switching to another seller and phone on Verizon. Either way, I'm left without a working device for another week.
            "
1.0 out of 5 stars,"The phone was suppose to be black.  I received gold and also it was built for service in Vietnam.Phone says it is G930V but it is actually G930U.  Also, it is not really a Samsung galaxy S7 but a replica (fake) settings do not allow for HD voice/ video chat.
            "
5.0 out of 5 stars,"I purchased this to replace my Samsung Galaxy Note 4 that bricked on me last weekend.  The refurbished price is so much better than new from Verizon.  When the phone arrived, it was in a plain box, and no OEM charger (but I have one from my other phone so no big deal).  The phone works great!  Setup was a breeze.  I've used it pretty heavily the past week (so many new features with latest OS) - and it's great. No complaints.
            "
2.0 out of 5 stars,"I've been a Samsung user since 2012, and over the course of 6 years I've had the galaxy S3, Galaxy, S4, Note 5, and this phone (S7). I'm not sure if it's the phone's status as certified refurbished, but this is the laggiest phone with the shortest battery life of any Samsung I've ever had. I probably charge this 4x a day, using it from about 10am to 10pm. The functionality is all right, as it hasn't fully frozen yet, but even texting causes a lag. Maybe it's just the device I received, though, bc this doesn't seem to be many people's experience?
            "
3.0 out of 5 stars,"Got this for my husband, after all the problems HE has with cell's, he likes this one!Fast shipping, just as described and in minutes it was running on our Verizon!UPDATE, the phone has died, they have sealed battery and it just won't charge any more, didn't even get 1 year out of it, so sad!
            "
5.0 out of 5 stars,"I ordered this, came in three days, took it up to Verizon, and within half and hour I was on my way with seemingly a brand new phone.  I do not see any difference between my phone, and my sisters who we bought brand new from Verizon a few years ago.  It was very easy, and affordable and worked like new at Verizon.  The phone itself was blank, with generic Google apps.  No earbuds, but that wasn't in the description.  It did come with a charger, and plastic wrapping around it.  I had a really great experience, would do again.
            "
5.0 out of 5 stars,"This phone does what I need. It isn't so large it can't be put in a pocket, which is important to me. I put a Zagg screen protector on it and have it in a case and with a bit of luck it will last a couple of years. The cost to replace with a refurbished was about the same as I anticipated spending on repairs. Unfortunately, modern phones with water resistance include glues that are difficult to remove to make a repair a self-service option unless one is truly determined.
            "
1.0 out of 5 stars,"Buyer beware! It says Verizon Wireless but these are not Verizon Branded phones. That means no voicemail and several other key apps that can only be pre-installed by Verizon. You cannot get these apps from play store or anywhere else.
            "
4.0 out of 5 stars,"Fantastic Battery life, works exactly as needed. Definitely worth the price of not getting the newest galaxy for 3 times the price. Only issue is it appears to run slower then my last phone (Galaxy s5) but not by a frustrating amountBe prepared for endless updates when first starting the phone
            "
1.0 out of 5 stars,"1st, verizon tech tried 2 new sim cards would not work. put sim card in from my iphone 7 & phone activated, not supposed to. 2nd, unknown apps from europe & netherlands constantly trying to download, this went on from 8pm to 6am when i shut phone down.  was 100% charged @ 8pm & down to 10% @ 6am.  It would not do screen shots.  Verizon tech & i tried to put phone in safe mode & this would not work, i could go on & on, it cost me my time @ verizon store 2hrs, plus time re-downloading all my apps, ring tones.  for a company that showed 99% reviews favorable what a scam.  additional cost of zagg screen saver & protective case.  also time on face of phone kept rocking between pt to military time, wierd, plus giving bogus local temp.  110 outside phone showing 76. Ordered wireless charger to go with phone,  tried to save some$ but in the long run ordered new from verizon.
            "
4.0 out of 5 stars,"LOVE the phone, but unfortunately the first one I was sent was defective.  After about 400 phone calls, I finally got my hands on one that WORKS properly and I'm in love. Never thought I'd be happy to leave Apple, but I definitely am!
            "
2.0 out of 5 stars,"Update: after rebooting the phone 5 times and doing a system update I was finally able to use the fingerprint sensor to unlock my phone. I should not have had to go through all that frustration,  but I think I may have fixed the problem.  :(I would give this company zero stars if I could. I received the phone and when I put the sim in I keep getting a notification that unauthorized actions have been detected. Because if this, I cannot use many apps, including the fingerprint security and Samsung’s own Health app. I have restarted the phone to no avail. I then did a factory reset and that didn’t work. I still get the same message. This phone is a piece of you know what. I am sending it back for a full refund. Unfortunately, this company will probably just send the defective phone to the next person who orders one so buys beware! 😡🤬
            "
5.0 out of 5 stars,"For what it's worth, I bought my phone from DealFisher and it was great. Battery is very strong and only one or two minor scratches that suggest this thing was hardly used. It was no trouble getting this phone switched over to my existing Verizon service. Last thing to note was that my package just included the phone and charger without any other extras. That's fine with me. Just happy I got a good one!
            "
1.0 out of 5 stars,"Four month's into owning what I thought was a decent phone, it has turned into a brick.  Listening to music last night I heard a peculiar zip like sound and the music stopped.  I knew it was fully charged, but it wouldn't respond to any button pressing.  I tried plugging it in this morning with no effect.  Later my screen lit up with nothing but static.  I'm not sure what  to replace it with.  New phones are prohibitively expensive.
            "
5.0 out of 5 stars,"We decided to purchase an S7 for my wife (the year is 2018) because her iPhone 6 crapped out at the 1st sign of water. She saw how mine has been with us since our wedding day in reliability, functionality, so we decided to get a refurbished on Amazon since they don't make them anymore. She loves it, although there's a learning curve coming from iPhone, it works great and the battery life is like it was new. Were running these bases boys into the ground.
            "
